val_accuracy,val_mcc,val_auc,epoch,step,train_loss,train_accuracy,test_accuracy,test_mcc,test_auc,test_precision,test_recall,test_f1
0.8310249447822571,0.6683313846588135,0.9287546277046204,0,22,,,,,,,,
0.7756232619285583,0.6014662384986877,0.9451857805252075,1,45,,,,,,,,
,,,2,49,0.18429061770439148,0.9296875,,,,,,
0.8753462433815002,0.7523319125175476,0.9511824250221252,2,68,,,,,,,,
0.8822714686393738,0.7644265294075012,0.9522650241851807,3,91,,,,,,,,
,,,4,99,0.20349711179733276,0.90234375,,,,,,
0.8628808856010437,0.7296785116195679,0.9493012428283691,4,114,,,,,,,,
0.8891966938972473,0.7805092930793762,0.9467521905899048,5,137,,,,,,,,
,,,6,149,0.12178891897201538,0.9453125,,,,,,
0.8822714686393738,0.7653555870056152,0.9454545378684998,6,160,,,,,,,,
0.8656509518623352,0.7316787242889404,0.9479959607124329,7,183,,,,,,,,
,,,8,199,0.08169364184141159,0.97265625,,,,,,
0.880886435508728,0.7618287205696106,0.948034405708313,8,206,,,,,,,,
0.8407202363014221,0.6870551109313965,0.937146782875061,9,229,,,,,,,,
,,,10,249,0.08337663114070892,0.97265625,,,,,,
0.8559556603431702,0.7155776619911194,0.9368319511413574,10,252,,,,,,,,
0.8628808856010437,0.7275018692016602,0.9425061345100403,11,275,,,,,,,,
0.8587257862091064,0.722981333732605,0.9428055882453918,12,298,,,,,,,,
,,,13,299,0.04495198652148247,0.98828125,,,,,,
0.8656509518623352,0.7336853742599487,0.9302749037742615,13,321,,,,,,,,
0.8684210777282715,0.7366630434989929,0.9462761282920837,14,344,,,,,,,,
,,,15,349,0.07132615149021149,0.9765625,,,,,,
0.8753462433815002,0.7540975213050842,0.9435427188873291,15,367,,,,,,,,
0.8490304946899414,0.7011008858680725,0.9367936253547668,16,390,,,,,,,,
,,,17,399,0.10583432763814926,0.953125,,,,,,
0.8324099779129028,0.6770914793014526,0.9394693970680237,17,413,,,,,,,,
0.871191143989563,0.7472904920578003,0.9349355697631836,18,436,,,,,,,,
,,,19,449,0.04763023555278778,0.984375,,,,,,
0.8781163692474365,0.7561264038085938,0.9438306093215942,19,459,,,,,,,,
0.8753462433815002,0.7564775347709656,0.9368320107460022,20,482,,,,,,,,
,,,21,499,0.027933133766055107,0.99609375,,,,,,
0.8476454019546509,0.6954406499862671,0.9359951019287109,21,505,,,,,,,,
0.861495852470398,0.7229404449462891,0.9385058283805847,22,528,,,,,,,,
,,,23,549,0.0858270674943924,0.96875,,,,,,
0.8822714686393738,0.7643741369247437,0.9400414824485779,23,551,,,,,,,,
0.8310249447822571,0.677824079990387,0.93955397605896,24,574,,,,,,,,
0.8795014023780823,0.758939266204834,0.9451358914375305,25,597,,,,,,,,
,,,26,599,0.030827555805444717,0.98828125,,,,,,
0.876731276512146,0.7537063956260681,0.9410665035247803,26,620,,,,,,,,
0.8476454019546509,0.6997720003128052,0.9407209753990173,27,643,,,,,,,,
,,,28,649,0.02612118422985077,0.98828125,,,,,,
0.8753462433815002,0.7506537437438965,0.943412184715271,28,666,,,,,,,,
0.8642659187316895,0.7300469875335693,0.9345669150352478,29,689,,,,,,,,
,,,30,699,0.10357987880706787,0.953125,,,,,,
0.871191143989563,0.7422929406166077,0.9398648142814636,30,712,,,,,,,,
0.8795014023780823,0.7595927715301514,0.9442030191421509,31,735,,,,,,,,
,,,32,749,0.05530780181288719,0.98046875,,,,,,
0.8781163692474365,0.7560601234436035,0.9395078420639038,32,758,,,,,,,,
0.8531855940818787,0.7100224494934082,0.9316991567611694,33,781,,,,,,,,
,,,34,799,0.02577963098883629,0.99609375,,,,,,
0.8698061108589172,0.7397758960723877,0.9392122030258179,34,804,,,,,,,,
0.8739612102508545,0.7477392554283142,0.9383752942085266,35,827,,,,,,,,
,,,36,849,0.011802095919847488,1.0,,,,,,
0.871191143989563,0.742242693901062,0.9363137483596802,36,850,,,,,,,,
0.8739612102508545,0.7519482970237732,0.94027179479599,37,873,,,,,,,,
0.8725761771202087,0.7456071972846985,0.9487100839614868,38,896,,,,,,,,
,,,39,899,0.0430058054625988,0.98828125,,,,,,
0.8324099779129028,0.6674333810806274,0.9162853360176086,39,919,,,,,,,,
0.8656509518623352,0.7340383529663086,0.9394809603691101,40,942,,,,,,,,
,,,41,949,0.02639012597501278,0.9921875,,,,,,
0.8656509518623352,0.7314023971557617,0.9393965005874634,41,965,,,,,,,,
0.811634361743927,0.6368339657783508,0.9327548742294312,42,988,,,,,,,,
,,,43,999,0.028135456144809723,0.984375,,,,,,
0.886426568031311,0.7794986963272095,0.9432816505432129,43,1011,,,,,,,,
0.861495852470398,0.7255346179008484,0.9425138235092163,44,1034,,,,,,,,
,,,45,1049,0.027003172785043716,0.9921875,,,,,,
0.8559556603431702,0.7144354581832886,0.9377993941307068,45,1057,,,,,,,,
0.8822714686393738,0.7644881010055542,0.9396306872367859,46,1080,,,,,,,,
,,,47,1099,0.015218980610370636,0.9921875,,,,,,
0.8656509518623352,0.7311562299728394,0.9438804984092712,47,1103,,,,,,,,
0.8850415349006653,0.7703689336776733,0.9441223740577698,48,1126,,,,,,,,
,,,49,1149,0.00886180717498064,1.0,,,,,,
0.8518005609512329,0.7059414386749268,0.9370086193084717,49,1149,,,,,,,,
0.8975069522857666,0.7949686050415039,0.9456387758255005,50,1172,,,,,,,,
0.876731276512146,0.7537063956260681,0.9352733492851257,51,1195,,,,,,,,
,,,52,1199,0.016904368996620178,0.99609375,,,,,,
0.8905817270278931,0.7810685634613037,0.9435195922851562,52,1218,,,,,,,,
0.8739612102508545,0.751511812210083,0.9388590455055237,53,1241,,,,,,,,
,,,54,1249,0.05624967813491821,0.98828125,,,,,,
0.8753462433815002,0.7505374550819397,0.9373233318328857,54,1264,,,,,,,,
0.8795014023780823,0.7592387795448303,0.9451857209205627,55,1287,,,,,,,,
,,,56,1299,0.010047772899270058,0.99609375,,,,,,
0.8725761771202087,0.7450405359268188,0.9465141296386719,56,1310,,,,,,,,
0.8573406934738159,0.7145878672599792,0.9321867227554321,57,1333,,,,,,,,
,,,58,1349,0.008145386353135109,1.0,,,,,,
0.8795014023780823,0.758939266204834,0.9459843635559082,58,1356,,,,,,,,
0.8587257862091064,0.7185196280479431,0.9311962723731995,59,1379,,,,,,,,
,,,60,1399,0.0646875724196434,0.9765625,,,,,,
0.8476454019546509,0.6966196298599243,0.9211570620536804,60,1402,,,,,,,,
0.8642659187316895,0.7297784686088562,0.9338874220848083,61,1425,,,,,,,,
0.8850415349006653,0.770472526550293,0.9425406455993652,62,1448,,,,,,,,
,,,63,1449,0.0365639254450798,0.984375,,,,,,
0.8975069522857666,0.7949686050415039,0.9456387758255005,63,1451,,,,,,,,
,,,63,1451,,,0.8980447053909302,0.7963537573814392,0.9537619948387146,0.9085714221000671,0.8857938647270203,0.8970381021499634
