val_mcc,learning_rate,weight_decay,stage_type,pooling,mp_layers,layers_pre_mp,layers_post_mp,layer_type,layer_fingerprints,hidden_channels,has_l2norm,has_bn,fingerprint_type,conv_dropout,conv_aggr,act
0.770772457,0.001,0.0005,stack,max,3,2,3,sageconv,1,256,False,True,morgan2,0,sum,relu
0.761879444,0.001,0.0005,skipsum,max,1,4,3,sageconv,1,256,True,True,morgan2,0.3,max,lrelu_05
0.738987446,0.001,0.0005,skipconcat,max,1,3,5,sageconv,1,256,True,False,morgan2,0.6,sum,prelu
0.787098467,0.001,0.0005,skipsum,add,1,1,3,sageconv,1,512,True,True,morgan2,0.6,softmax,relu
0.77547121,0.001,0.0005,skipsum,add,3,1,2,sageconv,1,512,True,True,morgan2,0.6,softmax,lrelu_01
0.805287838,0.001,0.0005,skipsum,mean,3,1,3,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_01
0.784213543,0.001,0.0005,stack,add,2,1,4,sageconv,1,512,True,True,morgan2,0.3,softmax,swish
0.806739211,0.001,0.0005,skipsum,mean,2,1,2,sageconv,1,256,False,True,morgan2,0,softmax,swish
0.758211195,0.001,0.0005,skipsum,mean,3,1,4,sageconv,1,512,True,True,morgan2,0.6,softmax,relu
0.798139811,0.001,0.0005,skipsum,mean,1,4,3,sageconv,1,512,False,True,morgan2,0,softmax,relu
0.797971606,0.001,0.0005,skipsum,mean,1,2,4,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_01
0.779619873,0.001,0.0005,skipsum,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,softmax,swish
0.802807331,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_025
0.754974782,0.001,0.0005,skipsum,mean,3,2,0,sageconv,1,512,True,False,morgan2,0.6,sum,lrelu_01
0.781623125,0.001,0.0005,skipsum,mean,1,4,3,sageconv,1,512,False,True,morgan2,0.6,softmax,lrelu_01
0.792232037,0.001,0.0005,skipsum,mean,2,2,3,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_05
0.790497601,0.001,0.0005,stack,mean,2,4,3,sageconv,1,512,False,True,morgan2,0,softmax,relu
0.790269792,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0,sum,lrelu_01
0.752050996,0.001,0.0005,skipsum,mean,1,4,4,sageconv,1,512,True,True,morgan2,0,softmax,relu
0.790151298,0.001,0.0005,skipsum,mean,2,2,2,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_025
0.766112566,0.001,0.0005,stack,add,3,1,3,sageconv,1,512,True,False,morgan2,0.6,softmax,swish
0.789043605,0.001,0.0005,skipconcat,mean,2,1,4,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_01
0.788102627,0.001,0.0005,skipsum,add,3,1,3,sageconv,1,512,False,True,morgan2,0.3,softmax,swish
0.738264322,0.001,0.0005,skipsum,max,1,2,4,sageconv,1,512,False,True,morgan2,0.6,softmax,lrelu_01
0.722307384,0.001,0.0005,skipsum,mean,1,2,0,sageconv,1,512,False,False,morgan2,0.6,max,lrelu_01
0.790733516,0.001,0.0005,skipsum,mean,2,2,3,sageconv,1,256,False,True,morgan2,0.6,softmax,lrelu_01
0.787385941,0.001,0.0005,stack,mean,1,4,4,sageconv,1,512,False,True,morgan2,0.3,max,relu
0.813502371,0.001,0.0005,stack,mean,2,4,2,sageconv,1,256,False,True,morgan2,0,mean,lrelu_05
0.810460389,0.001,0.0005,skipsum,mean,3,3,4,sageconv,1,256,False,True,morgan2,0.3,max,prelu
0.796060026,0.001,0.0005,stack,mean,2,3,3,sageconv,1,256,False,True,morgan2,0,mean,prelu
0.778248012,0.001,0.0005,stack,mean,1,3,3,sageconv,1,512,False,True,morgan2,0.3,softmax,relu
0.792675018,0.001,0.0005,stack,mean,3,4,3,sageconv,1,256,False,True,morgan2,0,max,lrelu_01
0.795380533,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0.6,mean,relu
0.79975903,0.001,0.0005,stack,mean,1,4,2,sageconv,1,256,False,True,morgan2,0,sum,lrelu_05
0.788085759,0.001,0.0005,skipsum,add,3,2,2,sageconv,1,512,True,True,morgan2,0.3,softmax,swish
0.790750206,0.001,0.0005,stack,add,3,1,3,sageconv,1,512,True,True,morgan2,0.3,max,swish
0.789420545,0.001,0.0005,skipsum,mean,3,3,3,sageconv,1,256,False,True,morgan2,0.3,sum,lrelu_01
0.778630018,0.001,0.0005,stack,mean,1,3,5,sageconv,1,512,False,True,morgan2,0.3,mean,lrelu_025
0.802807331,0.001,0.0005,skipsum,mean,3,5,5,sageconv,1,256,False,True,morgan2,0.3,max,prelu
0.802310705,0.001,0.0005,stack,mean,1,4,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.802472949,0.001,0.0005,stack,mean,3,4,4,sageconv,1,256,False,True,morgan2,0.3,max,prelu
0.793161213,0.001,0.0005,stack,mean,3,4,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.802164078,0.001,0.0005,stack,mean,2,3,2,sageconv,1,256,False,True,morgan2,0,softmax,swish
0.795799434,0.001,0.0005,stack,mean,2,3,4,sageconv,1,512,False,True,morgan2,0,max,relu
0.798275471,0.001,0.0005,stack,mean,2,3,2,sageconv,1,256,False,True,morgan2,0,sum,lrelu_025
0.792752743,0.001,0.0005,stack,mean,1,4,5,sageconv,1,512,False,True,morgan2,0,mean,prelu
0.764121473,0.001,0.0005,skipsum,max,2,3,2,sageconv,1,256,True,True,morgan2,0.3,softmax,swish
0.797875762,0.001,0.0005,skipsum,mean,2,4,3,sageconv,1,256,False,True,morgan2,0,max,prelu
0.783827841,0.001,0.0005,stack,mean,1,4,5,sageconv,1,512,False,True,morgan2,0,max,lrelu_025
0.790652573,0.001,0.0005,stack,mean,1,4,2,sageconv,1,256,False,True,morgan2,0,mean,lrelu_01
0.801880598,0.001,0.0005,stack,mean,2,4,4,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.789888442,0.001,0.0005,skipconcat,mean,3,5,5,sageconv,1,256,False,True,morgan2,0,max,prelu
0.778628409,0.001,0.0005,stack,add,3,3,4,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.803339958,0.001,0.0005,stack,mean,2,5,3,sageconv,1,256,False,True,morgan2,0,max,lrelu_05
0.781640112,0.001,0.0005,stack,mean,2,4,4,sageconv,1,512,False,True,morgan2,0.6,mean,prelu
0.786696196,0.001,0.0005,stack,mean,2,3,2,sageconv,1,256,False,True,morgan2,0,max,lrelu_05
0.774934769,0.001,0.0005,stack,mean,3,4,4,sageconv,1,512,False,True,morgan2,0.3,sum,swish
0.754523814,0.001,0.0005,skipconcat,max,2,4,1,sageconv,1,256,True,False,morgan2,0,sum,lrelu_01
0.820721269,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.793669283,0.001,0.0005,stack,mean,1,4,4,sageconv,1,512,False,True,morgan2,0,sum,relu
0.798813283,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,lrelu_05
0.808381855,0.001,0.0005,stack,mean,1,2,5,sageconv,1,512,False,True,morgan2,0,max,prelu
0.788102627,0.001,0.0005,stack,mean,2,5,2,sageconv,1,256,False,True,morgan2,0,softmax,prelu
0.782044888,0.001,0.0005,stack,mean,1,3,5,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.80162245,0.001,0.0005,stack,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.6,sum,prelu
0.783988237,0.001,0.0005,stack,mean,1,1,5,sageconv,1,512,False,True,morgan2,0.3,max,prelu
0.770452201,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,False,morgan2,0,sum,prelu
0.747290492,0.001,0.0005,stack,mean,1,1,5,sageconv,1,512,True,True,morgan2,0,max,prelu
0.749376774,0.001,0.0005,skipsum,mean,1,3,0,sageconv,1,256,True,True,morgan2,0.3,max,relu
0.776037693,0.001,0.0005,stack,mean,2,5,4,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.790652573,0.001,0.0005,stack,mean,2,3,5,sageconv,1,512,False,True,morgan2,0,max,prelu
0.781827271,0.001,0.0005,stack,mean,3,4,2,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.761558831,0.001,0.0005,skipsum,mean,3,5,3,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.703597486,0.001,0.0005,stack,add,3,4,1,sageconv,1,256,False,True,morgan2,0.6,max,lrelu_025
0.611124456,0.001,0.0005,skipsum,mean,3,4,1,sageconv,1,512,True,True,morgan2,0,softmax,lrelu_05
0.680757403,0.001,0.0005,skipsum,add,2,3,5,sageconv,1,256,False,False,morgan2,0.6,sum,lrelu_05
0.783467352,0.001,0.0005,stack,add,1,3,3,sageconv,1,512,False,True,morgan2,0,max,relu
0.781640112,0.001,0.0005,skipsum,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.3,mean,prelu
0.771986306,0.001,0.0005,skipsum,add,3,1,2,sageconv,1,512,False,True,morgan2,0.6,max,relu
0.796350956,0.001,0.0005,skipconcat,add,3,4,5,sageconv,1,512,False,False,morgan2,0.6,sum,lrelu_01
0.793669283,0.001,0.0005,stack,add,3,5,4,sageconv,1,256,False,True,morgan2,0,max,prelu
0.793402731,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,softmax,lrelu_01
0.779150128,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,True,True,morgan2,0,max,prelu
0.797589362,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0,mean,prelu
0.774054646,0.001,0.0005,stack,mean,3,3,0,sageconv,1,256,True,True,morgan2,0.6,softmax,lrelu_01
0.785459697,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,mean,swish
0.81395638,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.789043605,0.001,0.0005,skipsum,mean,3,1,2,sageconv,1,256,False,True,morgan2,0.3,sum,swish
0.805100143,0.001,0.0005,stack,mean,1,3,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.807184875,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.637295783,0.001,0.0005,skipsum,add,3,2,4,sageconv,1,256,False,False,morgan2,0,softmax,swish
0.781827271,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0.6,max,prelu
0.804402709,0.001,0.0005,skipconcat,mean,1,4,2,sageconv,1,256,False,True,morgan2,0,mean,lrelu_05
0.782038927,0.001,0.0005,skipsum,add,3,1,2,sageconv,1,512,True,True,morgan2,0.3,mean,swish
0.794987381,0.001,0.0005,skipconcat,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.78253597,0.001,0.0005,stack,mean,1,4,3,sageconv,1,512,False,True,morgan2,0,mean,relu
0.682089686,0.001,0.0005,skipconcat,mean,3,4,0,sageconv,1,256,False,False,morgan2,0,softmax,prelu
0.793223798,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_01
0.771304786,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,False,morgan2,0,max,prelu
0.787385941,0.001,0.0005,skipsum,mean,2,2,3,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_025
0.800998926,0.001,0.0005,stack,mean,3,3,4,sageconv,1,512,False,True,morgan2,0.6,sum,relu
0.734559357,0.001,0.0005,skipsum,max,1,3,0,sageconv,1,256,False,True,morgan2,0.3,max,swish
0.795122147,0.001,0.0005,skipconcat,mean,2,2,3,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.810091019,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.806547582,0.001,0.0005,stack,mean,2,1,3,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_025
0.784935176,0.001,0.0005,stack,mean,3,3,4,sageconv,1,512,False,True,morgan2,0.6,sum,lrelu_025
0.795801759,0.001,0.0005,skipsum,mean,3,1,3,sageconv,1,256,False,True,morgan2,0.3,max,lrelu_01
0.740756631,0.001,0.0005,stack,add,1,2,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.790211976,0.001,0.0005,skipsum,mean,2,1,3,sageconv,1,256,False,True,morgan2,0,sum,lrelu_025
0.773046494,0.001,0.0005,skipconcat,add,3,3,3,sageconv,1,512,False,True,morgan2,0.6,sum,relu
0.788404047,0.001,0.0005,skipsum,mean,2,2,3,sageconv,1,256,False,True,morgan2,0,mean,lrelu_01
0.803964913,0.001,0.0005,stack,mean,1,4,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.757359087,0.001,0.0005,skipconcat,mean,2,4,3,sageconv,1,512,True,True,morgan2,0.6,max,prelu
0.773937404,0.001,0.0005,skipconcat,mean,2,3,3,sageconv,1,256,True,True,morgan2,0.6,softmax,prelu
0.796244085,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0,max,relu
0.789066195,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.795380533,0.001,0.0005,stack,mean,1,4,3,sageconv,1,256,False,True,morgan2,0,mean,lrelu_05
0.789066195,0.001,0.0005,stack,mean,1,5,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.805100143,0.001,0.0005,stack,mean,3,1,3,sageconv,1,256,False,True,morgan2,0.3,softmax,prelu
0.79975903,0.001,0.0005,stack,mean,2,1,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.800810277,0.001,0.0005,stack,mean,1,1,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.78253597,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0.3,softmax,prelu
0.774323463,0.001,0.0005,stack,mean,1,5,5,sageconv,1,512,False,True,morgan2,0,max,prelu
0.794987381,0.001,0.0005,stack,mean,3,1,2,sageconv,1,256,False,True,morgan2,0.3,softmax,swish
0.761558831,0.001,0.0005,stack,max,2,3,3,sageconv,1,512,False,False,morgan2,0,sum,lrelu_01
0.808412373,0.001,0.0005,stack,mean,2,3,3,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.743336499,0.001,0.0005,stack,max,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.80406183,0.001,0.0005,stack,mean,3,2,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.798861325,0.001,0.0005,stack,mean,3,5,5,sageconv,1,256,False,True,morgan2,0.6,max,relu
0.78253597,0.001,0.0005,skipsum,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.6,max,prelu
0.779927433,0.001,0.0005,stack,add,3,2,3,sageconv,1,512,False,True,morgan2,0.3,max,prelu
0.795380533,0.001,0.0005,stack,mean,2,3,3,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.801181734,0.001,0.0005,stack,mean,3,2,3,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.803339958,0.001,0.0005,stack,mean,3,2,4,sageconv,1,512,False,True,morgan2,0,softmax,prelu
0.797971606,0.001,0.0005,skipsum,mean,3,4,5,sageconv,1,256,False,True,morgan2,0.3,max,relu
0.677426934,0.001,0.0005,stack,mean,2,5,0,sageconv,1,512,False,False,morgan2,0.6,mean,lrelu_05
0.789407611,0.001,0.0005,stack,mean,3,3,4,sageconv,1,512,False,True,morgan2,0,sum,relu
0.798722327,0.001,0.0005,skipsum,mean,1,4,2,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_05
0.798966527,0.001,0.0005,stack,mean,3,2,4,sageconv,1,512,False,True,morgan2,0,mean,prelu
0.789043605,0.001,0.0005,stack,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.3,softmax,relu
0.716894388,0.001,0.0005,skipsum,max,2,3,3,sageconv,1,256,True,False,morgan2,0,mean,lrelu_05
0.753852844,0.001,0.0005,skipsum,max,1,4,3,sageconv,1,256,True,True,morgan2,0.3,max,lrelu_05
0.768735766,0.001,0.0005,skipconcat,mean,2,4,3,sageconv,1,512,True,True,morgan2,0.6,max,prelu
0.626327455,0.001,0.0005,stack,add,2,1,3,sageconv,1,256,True,False,morgan2,0.3,mean,lrelu_05
0.760542929,0.001,0.0005,stack,max,3,3,5,sageconv,1,512,True,False,morgan2,0.3,max,lrelu_01
0.739545345,0.001,0.0005,skipconcat,mean,1,5,3,sageconv,1,512,True,False,morgan2,0.6,sum,lrelu_05
0.758306742,0.001,0.0005,skipsum,add,2,2,1,sageconv,1,512,False,True,morgan2,0,softmax,swish
